name_low,unix_date,date,tool,index,len_cut,min_current_main,max_current_main,min_current_sub,max_current_sub,rms_current_main,rms_current_sub,std_current_main,std_current_sub,svd_current_sub_0,svd_current_sub_1,svd_current_sub_2,svd_current_sub_3,svd_current_sub_4,svd_current_sub_5,svd_current_sub_6,svd_current_sub_7,svd_current_sub_8,svd_current_sub_9,svd_current_main_0,svd_current_main_1,svd_current_main_2,svd_current_main_3,svd_current_main_4,svd_current_main_5,svd_current_main_6,svd_current_main_7,svd_current_main_8,svd_current_main_9,failed
1568213830_17_3,1568213830,2019-09-11 10:57:10,17,3,419,216.74111938476562,1210.1431884765625,0.4524986445903778,6.425992488861084,507.18024628553525,2.396430555200871,164.17869725264723,0.9611984199189838,141.34517265536363,23.12594708220806,22.45529866193912,19.906837211302474,19.668346283447065,17.977120554751846,17.847966767214754,17.267755686269908,16.94971712837267,15.871817230667306,29572.733675528474,2997.1562213301695,961.1495619016371,652.7457229619688,476.4636293999971,299.19193146714923,261.2912930736702,250.3632985388974,220.69872888281014,199.44211267843053,
1568213682_13_0,1568213682,2019-09-11 10:54:42,13,0,2857,291.2139892578125,440.34832763671875,0.11155872792005539,6.827406406402588,321.5780884634721,2.1142105761799397,18.9287459489137,0.7837443632865131,335.01411003563453,43.49855473659331,43.37092037821553,42.59164727099295,41.35934013338089,41.28474136228322,40.66468126589938,40.55929306922746,39.716601864268696,32.48952130786344,54128.545473636135,1146.2950022998052,1033.5135948998698,570.4030387795374,521.3148750728357,221.79656626909528,206.90257240192793,158.0007844483798,137.92043593056934,120.77539846059574,
1574906106_6_6,1574906106,2019-11-27 20:55:06,6,6,427,263.0,703.0,1.0,7.0,457.2865289455126,2.4119142212717337,109.94204531377254,1.146900361259683,136.6846778076758,26.195976190852285,25.771931469086002,23.411591238544556,22.408425204525766,21.91026196327674,21.810838052465055,21.707306121582274,19.370787711303137,18.666288234211677,29219.621386615618,1252.6052862633724,690.5673143578748,522.4691522087296,457.572710476157,420.2033046983123,395.38584227307484,252.1094481228924,199.0414455923729,190.901941249848,
1568211798_32_1,1568211798,2019-09-11 10:23:18,32,1,595,1.0,5.0,393.0,1136.0,1.5502778281771996,752.6544253730349,0.5776086959728375,187.26261563424714,56482.53849817537,8196.783197970271,3252.0150219018587,1352.5721746940676,1050.5300260522372,958.9137229880089,872.8683862654549,619.9730405282069,442.1293019935401,395.7421420588502,110.99931322129522,15.142403960026577,15.126101781319122,14.506108887798277,14.024562741611566,13.07777336879082,12.980980623231074,12.346533553538144,12.331111215603261,11.828708620509483,2
1540298755_17_4,1540298755,2018-10-23 08:45:55,17,4,1181,208.0,564.0,1.0,9.0,394.38903220224387,2.2769693302886975,78.4030646971236,1.1083765813136726,218.93735186916805,41.61246298649365,40.44568714260606,38.5304697023172,38.4262026107011,36.535567362501496,36.38483194436831,34.80668982010807,34.16467576542828,33.54669469867763,42598.57663227901,2282.846183272732,1322.4537161981902,991.3168977083958,875.3584242829864,742.8034044495308,600.3113482980347,558.7893842721664,474.613388189289,434.6881140037595,
1568213830_6_3,1568213830,2019-09-11 10:57:10,6,3,299,239.63101196289062,599.05078125,0.3943439722061157,5.893819808959961,397.9750505825784,2.1416249700276064,97.07752790085672,0.795797831789147,105.46703853392148,15.398691190136596,15.05335384716272,14.177115554923486,13.59771894569197,13.46274580959421,13.194526329163269,12.486095978238023,12.167255040277855,11.812755776705052,20535.028210292698,759.3633426812213,311.0406588031236,207.52759919856217,172.88912502501526,113.31661346775238,89.57595559618692,77.09391389280788,76.2890930227065,68.64793502364091,
1568213682_37_4,1568213682,2019-09-11 10:54:42,37,4,1109,0.6351057887077332,3.071310520172119,465.1729431152344,1023.046142578125,1.4892039687278087,754.2635170551825,0.4394968872902083,169.5290884541606,77871.57647005447,10950.643013954501,4292.816038396302,1725.222033225742,1124.1567326843947,928.1929791549602,748.3907746846875,696.2354310519144,543.0829625536754,499.02445294826936,149.9170286120141,15.914531831409201,15.609966042819998,14.343531026091572,13.796680891147314,13.406251090314106,12.917999864843084,12.809390597223974,12.666119582678537,10.654652362495455,
1568211798_2_1,1568211798,2019-09-11 10:23:18,2,1,650,238.0,746.0,1.0,7.0,466.33862572829395,2.409915415049314,103.9738132711975,1.1544870015233564,171.68589527428435,30.884015293824007,30.849369399684726,29.8182186720712,29.42386216639086,28.730789084460113,28.01532293642295,27.940547142585846,27.812541655576673,26.926368723981167,37171.12386769426,2745.557716292056,919.1858831588298,602.117404811697,551.8843216861997,479.31411491324843,314.83449698626026,311.4466038207424,223.69177895046892,219.0983735471993,
1574906106_36_1,1574906106,2019-11-27 20:55:06,36,1,284,1.0,5.0,293.0,855.0,1.5598392838844957,548.2237707514163,0.5820306441247384,132.69408182477162,28252.746477142395,2260.159946970783,1129.3713637850044,681.1617449628134,363.80133893230663,350.6410299480637,242.42021004452016,241.99571632987835,234.93578346060053,222.31207543922568,75.65908261813645,10.517193925361225,10.447573683753115,10.035687366310059,9.85987080624436,9.60100555885279,9.33661225578858,9.238348116799497,8.960308106898726,8.889440182427558,
1568213830_54_5,1568213830,2019-09-11 10:57:10,54,5,1340,0.5848994851112366,2.8177220821380615,387.4794006347656,1825.9324951171875,1.4390500612149217,1233.4168797913267,0.3992125665350126,337.6517631497964,141953.77722860366,10572.827070900477,4234.532010215854,1334.1333092829648,1002.5971736348282,949.123423564324,833.6932875216216,805.0604305103066,587.5316793641424,551.3436089976433,160.06425114151565,15.484423562186734,15.39663408174043,15.006038338074976,14.892525063772046,14.733886102544185,14.471770414784357,14.437411278754153,14.09610169045643,11.62767922338621,1
